word,frequency,sentiment
ml,8,positive
lannistercom,86,positive
capacidade,4,positive
cumprindo,12,positive
prometeu,10,positive
momento,83,positive
voces,21,positive
gostaria,77,positive
saber,54,positive
valor,155,positive
frete,325,positive
benevidesquando,1,positive
coloco,1,positive
carinho,12,positive
mundando,1,positive
teve,31,positive
te,11,positive
mim,58,positive
pata,1,positive
escolher,9,positive
modelo,43,positive
havia,60,positive
certamente,6,positive
procurarei,1,positive
futuro,5,positive
boneca,21,positive
carinha,1,positive
queridaamei,1,positive
olha,10,positive
y,4,positive
aconteceu,32,positive
saet,1,positive
condiçõesnota,1,positive
dei,25,positive
total,34,positive
causa,40,positive
problema,293,positive
constante,5,positive
atrasando,2,positive
entrar,8,positive
solicitação,15,positive
troca,83,positive
avaliação,35,positive
tinha,124,positive
ninguém,24,positive
casa,145,positive
falou,1,positive
correio,134,positive
difícil,15,positive
tivesse,22,positive
nunquem,1,positive
aquário,2,positive
retorno,25,positive
confere,8,positive
anúncio,168,positive
nf,30,positive
junto,70,positive
vamos,28,positive
ver,90,positive
dá,49,positive
podem,38,positive
prazomeu,1,positive
mochilaobrigada,1,positive
mause,1,positive
barato,79,positive
muuuuito,4,positive
vem,111,positive
prasso,1,positive
rede,22,positive
parafusos,22,positive
sensacional,26,positive
medo,36,positive
coisa,72,positive
quem,98,positive
fã,6,positive
k,11,positive
jndico,1,positive
dico,1,positive
virtual,11,positive
lacrada,6,positive
durex,1,positive
rasgou,3,positive
toda,85,positive
hora,66,positive
ate,87,positive
ressalva,8,positive
escolhi,20,positive
atraso,80,positive
qualdade,1,positive
acabado,36,positive
violado,4,positive
entrei,28,positive
atendente,5,positive
será,30,positive
reenviado,1,positive
quitequero,1,positive
salientar,2,positive
único,73,positive
me,412,positive
entregaram,178,positive
fixador,3,positive
cachos,1,positive
consevação,1,positive
funcionou,45,positive
ar,13,positive
portatil,3,positive
springer,1,positive
show,98,positive
bola,26,positive
reclamar,86,positive
montagem,38,positive
corresponde,34,positive
apresentado,10,positive
tais,1,positive
textura,4,positive
chegaram,131,positive
entregador,10,positive
chamou,4,positive
possibilita,2,positive
ouvir,3,positive
atender,16,positive
mto,136,positive
prezados,5,positive
att,16,positive
george,1,positive
carvalho,2,positive
demonstra,3,positive
bonitinho,8,positive
relógio,252,positive
dobrado,2,positive
coloquei,24,positive
esticado,1,positive
irá,4,positive
desamassar,1,positive
desamasse,1,positive
devolverei,1,positive
bolsa,73,positive
térmica,3,positive
espaçosa,6,positive
compro,261,positive
nenhum,135,positive
contrário,5,positive
expectivas,13,positive
prestou,1,positive
assistência,4,positive
alterar,2,positive
transportadora,58,positive
transportes,2,positive
particulares,1,positive
confiei,2,positive
redes,17,positive
podia,23,positive
grátis,10,positive
surpreso,10,positive
rapidez,210,positive
google,2,positive
fui,126,positive
atendido,69,positive
negociação,23,positive
normal,33,positive
certinhoeu,1,positive
carinhosamente,2,positive
s,19,positive
cozinha,19,positive
clientes,65,positive
agradecer,34,positive
pele,15,positive
xbox,11,positive
apertado,4,positive
devia,3,positive
pelos,46,positive
centímetro,1,positive
folga,4,positive
encontrado,3,positive
fantástico,9,positive
aparelho,53,positive
auditivo,1,positive
às,43,positive
recebí,4,positive
confiavel,27,positive
ótimopreços,1,positive
obrigadavaleu,1,positive
pessoal,15,positive
paguei,66,positive
boleto,17,positive
triciclo,1,positive
faz,54,positive
agradar,4,positive
fez,17,positive
vieram,98,positive
certinhos,4,positive
pague,2,positive
ruim,44,positive
hp,4,positive
após,71,positive
melhores,25,positive
acatar,1,positive
nosso,8,positive
apelo,1,positive
livroacredito,1,positive
chegará,3,positive
nenhuma,42,positive
ocorrência,1,positive
chegasse,2,positive
ve,2,positive
solicitado,60,positive
brinde,45,positive
rcebi,1,positive
embala,2,positive
be,1,positive
certinha,8,positive
embalados,47,positive
agência,23,positive
disseram,5,positive
encomenda,72,positive
entreguenao,1,positive
entendi,15,positive
pagar,40,positive
ir,48,positive
aos,47,positive
buscar,55,positive
bota,1,positive
numeração,6,positive
certa,47,positive
confortável,61,positive
valeu,95,positive
pena,190,positive
diferentes,50,positive
houve,66,positive
pequeno,115,positive
greve,72,positive
parcial,9,positive
tranquilamente,3,positive
dois,186,positive
instalar,44,positive
utilizei,32,positive
parceiro,50,positive
targaryen,98,positive
chegado,28,positive
apresenta,7,positive
enfim,19,positive
atenciosos,28,positive
correu,43,positive
tdo,12,positive
ultra,8,positive
cumprido,21,positive
rapazinho,1,positive
aninhos,1,positive
aproveitar,2,positive
maximo,2,positive
mochila,99,positive
kits,16,positive
menina,2,positive
revendedor,4,positive
dez,26,positive
emtodos,1,positive
grato,33,positive
marcelo,1,positive
americas,6,positive
vidro,28,positive
levemente,3,positive
lascado,2,positive
sobressai,1,positive
afeta,2,positive
funcionamento,16,positive
avaliando,7,positive
peso,9,positive
marcado,27,positive
muda,7,positive
jeitinho,22,positive
fixação,9,positive
perfume,43,positive
diferença,19,positive
líquido,5,positive
possuo,1,positive
casinha,1,positive
madeira,11,positive
panetone,1,positive
geraldina,1,positive
pusch,1,positive
capinha,28,positive
mandou,17,positive
carta,8,positive
dizendo,13,positive
breve,21,positive
reclamação,18,positive
comentário,6,positive
verdade,30,positive
quiserem,4,positive
punhos,1,positive
hercúleos,1,positive
bolsas,27,positive
deixou,57,positive
desejar,44,positive
dada,7,positive
irmão,2,positive
boné,2,positive
visualizei,4,positive
internet,62,positive
propaganda,21,positive
verdadeira,1,positive
alem,18,positive
visto,17,positive
duas,136,positive
etapas,13,positive
nessa,50,positive
respeito,39,positive
responsabilidade,31,positive
seus,59,positive
demorado,20,positive
creio,14,positive
demora,78,positive
motivos,3,positive
dezembro,2,positive
adiantada,4,positive
final,75,positive
estraga,3,positive
observação,16,positive
cabo,35,positive
alimenta,2,positive
ligar,7,positive
tomadas,4,positive
aberto,8,positive
si,23,positive
faltando,45,positive
alguma,16,positive
alguns,51,positive
anzol,1,positive
etc,7,positive
produtoentrega,5,positive
embaladosuper,2,positive
vi,68,positive
viajando,4,positive
surpreendeu,65,positive
dificuldade,20,positive
paarmazenamento,1,positive
pós,7,positive
i,6,positive
vcs,129,positive
descartável,7,positive
aproveitável,1,positive
apena,14,positive
acreditarse,1,positive
fossem,11,positive
estaríamos,1,positive
numa,31,positive
luminária,21,positive
hh,2,positive
td,111,positive
faremos,4,positive
negocio,4,positive
escrivaninha,1,positive
c,28,positive
tampa,31,positive
cavaleteso,1,positive
fabricante,16,positive
itens,33,positive
precisa,44,positive
utilizado,24,positive
prestados,8,positive
intacto,18,positive
bichinhos,2,positive
também,118,positive
higiênico,4,positive
parabens,134,positive
porem,85,positive
longo,50,positive
voltou,4,positive
mal,24,positive
encaminhamento,2,positive
emuito,2,positive
agradável,13,positive
preciso,82,positive
torcalo,1,positive
bebê,16,positive
nascer,3,positive
aparenta,22,positive
cortina,107,positive
qui,2,positive
descricao,3,positive
varao,3,positive
recomento,28,positive
mesma,83,positive
branca,16,positive
proibido,1,positive
lado,7,positive
belo,10,positive
xadrez,2,positive
peças,53,positive
tabuleiro,2,positive
ideal,34,positive
transportar,3,positive
gostando,16,positive
satisfez,10,positive
pet,1,positive
golden,2,positive
instalei,66,positive
parabenizo,11,positive
prazos,27,positive
desde,55,positive
agradeço,75,positive
envolvidos,11,positive
processo,82,positive
fortíssima,1,positive
buzina,3,positive
vendedora,8,positive
telefone,20,positive
sugerir,1,positive
adquirido,23,positive
pagamento,46,positive
vista,12,positive
desconto,8,positive
seu,32,positive
encantada,4,positive
latas,1,positive
bonitas,11,positive
segurança,36,positive
transmite,1,positive
esperadoa,1,positive
única,64,positive
desagradou,2,positive
bolinhas,3,positive
papelpoderia,1,positive
vir,48,positive
escrito,12,positive
produtomas,9,positive
for,21,positive
tão,61,positive
preco,10,positive
lj,6,positive
tranquila,34,positive
compressor,2,positive
secar,4,positive
veículos,1,positive
nesse,37,positive
propósito,6,positive
exemplar,2,positive
carcaça,4,positive
dirá,1,positive
fluxo,1,positive
vento,2,positive
recebida,17,positive
quebrável,1,positive
certodiferente,1,positive
anterioresgraças,1,positive
deus,18,positive
tarifa,1,positive
cara,9,positive
deixando,12,positive
cumpriu,72,positive
americana,43,positive
seguro,68,positive
prazomuito,9,positive
cubro,1,positive
mágico,3,positive
targaryenlannister,1,positive
manuseio,14,positive
carlotas,1,positive
intatas,1,positive
adoreiii,7,positive
tbm,26,positive
arrasam,2,positive
fidelidade,4,positive
bateria,28,positive
resto,38,positive
demorada,21,positive
maravilhoso,197,positive
facil,41,positive
riscado,5,positive
perceber,7,positive
então,55,positive
deste,27,positive
muitoboaempresa,1,positive
recebo,32,positive
inteiro,8,positive
conformidade,11,positive
controle,52,positive
tv,11,positive
sony,1,positive
capa,85,positive
acesso,8,positive
bm,6,positive
estamos,23,positive
obra,4,positive
pacote,23,positive
danificar,4,positive
marido,10,positive
adorou,84,positive
rotineira,1,positive
confio,21,positive
nossas,8,positive
aprovado,42,positive
baby,1,positive
provavelmente,6,positive
taxa,5,positive
americanacom,1,positive
partir,4,positive
fizeram,8,positive
rapidinho,31,positive
embaladinho,6,positive
perfeitoatendeu,1,positive
esposo,7,positive
tentativa,7,positive
resolveu,4,positive
adoro,79,positive
elástico,8,positive
alias,3,positive
pulseira,27,positive
